Ano,Inflação (%),Preço Gasolina (R$/L),Preço Etanol (R$/L),Preço do Petróleo (R$/L),Taxa de Câmbio (R$)
2010,4.987392112806378,7.0725032532604795,5.2285872804484,68.80968171829662,4.778955768878426
2011,4.9335661135410565,7.159400637240428,5.316115816189161,71.87988459754516,4.931372831768085
2012,3.880250364998527,6.428534656328967,4.878706804817805,64.05527726574537,4.3289038333631495
2013,1.1007920919604532,6.476780230227179,4.67853407955008,75.21726527988493,4.841014746812064
2014,2.0110546393351707,7.4710416523760905,5.770498431117155,90.44224843238561,4.351969642014452
2015,3.7530779961235927,8.10988921136671,5.8633668251473505,91.09688560287432,4.941083280916258
2016,3.5160445561459155,6.782339518938556,5.298855036026496,67.14436589733293,4.538284237609389
2017,3.4495609222844754,5.749339273877321,4.308045934976862,53.97414126067871,4.3505081202792555
2018,1.877189150163162,6.962443352238536,5.657431451363511,74.23950667808394,4.294445578658114
2019,4.144349522870526,7.515563825095144,5.294324625818177,82.87572838866117,4.5295543515998675
2020,2.813428995256865,6.542532333500975,4.835325628009934,66.75402572125692,4.1246969616960305
2021,3.7685811339607955,8.031016556899788,6.16645793914049,90.67480598512418,4.398304013098564
2022,4.207327789300738,6.597095522566839,5.133340898592234,64.9576153611779,4.581859005219277
2023,3.7270618306468157,7.374073985157372,5.460807919625492,76.92218207787693,4.391077529707246
2024,2.214343637474265,7.0484798029350495,5.306811716868616,74.7107387060323,4.724088174788662
2025,1.9462515206298732,7.852588077859121,5.678487971165711,89.14203016753132,4.724838624362575
2026,2.8909976108403606,6.471779994041546,4.594713163007642,62.10046842739202,4.737035478647067
2027,4.33150979262358,5.813608143305361,4.4120393706023915,50.77734081804615,4.350753036021901
2028,4.762922244874,6.988598985097231,5.121679169328106,71.91966790600313,4.788587350992167
