Estado,Cidade,Data,Preço Gasolina (R$/L),Preço Etanol (R$/L),Ano,Inflação (%),PIB per Capita,Taxa de Desemprego,Média de Preços Históricos
RJ,Salvador,2020-01-01,5.747092688316748,4.888298051096888,2020,2.4197226422968927,29655.421774760172,9.458415280761583,4.261606305703501
BA,Porto Alegre,2020-01-02,5.565976343356255,4.883705034587386,2020,2.7292593981977817,42391.90242709951,10.030850202915278,4.790007818907357
RJ,Belo Horizonte,2020-01-03,4.5391897748578955,4.501458836707276,2020,1.8204194750555591,24900.79381310882,9.455307074798931,4.537514167458884
MG,Salvador,2020-01-04,4.764398858945367,3.2669573050257967,2020,4.39922733491505,24465.8959882951,9.946693368838186,5.123411094794219
BA,São Paulo,2020-01-05,4.267523585327702,3.0051434164674093,2020,4.613426726293598,26309.95712473277,13.556268034896124,4.206172077724762
MG,Uberlândia,2020-01-06,4.8957195895813355,3.8385455091271723,2020,1.2729193274373785,40217.27991569219,11.97696868526084,4.959123796735652
SP,Rio de Janeiro,2020-01-07,4.953362763512959,3.3415152563706236,2020,3.5266129097130663,42016.339170131425,8.330302962452109,5.696395350867494
RS,Feira de Santana,2020-01-08,4.209596875423149,4.851842668272058,2020,2.9662900280801883,27592.543910623855,13.782404463651346,4.590810086823512
MG,Campinas,2020-01-09,5.895000701698338,4.132495607561609,2020,3.9799407074139057,38459.786186562815,10.127532603527628,5.485537369505395
BA,Belo Horizonte,2020-01-10,5.904722228987136,4.346906755141642,2020,4.002221488048728,21545.317339355905,14.99222571754274,5.1284338346904335
BA,Uberlândia,2020-01-11,4.8144237807784105,3.6449982476326133,2020,4.264653802511382,38393.31720812214,14.213253514379314,5.735763657685914
BA,Canoas,2020-01-12,4.953838132572837,4.035246652969132,2020,4.913888503844216,41050.01701945667,14.280509750339714,5.3091783005790525
RS,Niterói,2020-01-13,5.277996891530352,4.214484292842947,2020,2.5522242103575987,32737.538262102626,12.862714290292786,5.215096225114088
RS,Feira de Santana,2020-01-14,5.65633348395399,4.182552665880559,2020,1.0339121524113803,32887.10036990543,8.320563068925752,4.748016654569741
